name,ring,quadrant,isNew,description
Path-to-production mapping,Adopt,Techniques,,
Team cognitive load,Adopt,Techniques,,
Threat modeling,Adopt,Techniques,,
BERT,Trial,Techniques,,
Component visual regression testing,Trial,Techniques,,
Design tokens,Trial,Techniques,,
Fake SMTP server to test mail-sending,Trial,Techniques,,
Federated machine learning,Trial,Techniques,,
Incremental developer platform,Trial,Techniques,,
Micro frontends for mobile,Trial,Techniques,,
Observability for CI/CD pipelines,Trial,Techniques,,
SLSA,Trial,Techniques,,
Software Bill of Materials,Trial,Techniques,,
Carbon efficiency as an architectural characteristic,Assess,Techniques,,
CUPID,Assess,Techniques,,
GitHub push protection,Assess,Techniques,,
Local-first application,Assess,Techniques,,
Metrics store,Assess,Techniques,,
Server-driven UI,Assess,Techniques,,
SLIs and SLOs as code,Assess,Techniques,,
Synthetic data for testing models,Assess,Techniques,,
TinyML,Assess,Techniques,,
Verifiable credentials,Assess,Techniques,,
"Satellite workers without ""remote native""",Hold,Techniques,,
SPA by default,Hold,Techniques,,
Superficial cloud native,Hold,Techniques,,
Backstage,Adopt,Platforms,,
Delta Lake,Adopt,Platforms,,
AWS Database Migration Service,Trial,Platforms,,
Colima,Trial,Platforms,,
Databricks Photon,Trial,Platforms,,
DataHub,Trial,Platforms,,
DataOps.live,Trial,Platforms,,
eBPF,Trial,Platforms,,
Feast,Trial,Platforms,,
Monte Carlo,Trial,Platforms,,
Retool,Trial,Platforms,,
Seldon Core,Trial,Platforms,,
Teleport,Trial,Platforms,,
VictoriaMetrics,Trial,Platforms,,
Bun,Assess,Platforms,,
Databricks Unity Catalog,Assess,Platforms,,
Dragonfly,Assess,Platforms,,
Edge Impulse,Assess,Platforms,,
GCP Vertex AI,Assess,Platforms,,
Gradient,Assess,Platforms,,
IAM Roles Anywhere,Assess,Platforms,,
Keptn,Assess,Platforms,,
OpenMetadata,Assess,Platforms,,
OrioleDB,Assess,Platforms,,
Great Expectations,Adopt,To,,
k6,Adopt,To,,
Apache Superset,Trial,To,,
AWS Backup Vault Lock,Trial,To,,
AWS Control Tower,Trial,To,,
Clumio Protect,Trial,To,,
Cruft,Trial,To,,
Excalidraw,Trial,To,,
Hadolint,Trial,To,,
Kaniko,Trial,To,,
Kusto Query Language,Trial,To,,
Spectral,Trial,To,,
Styra Declarative Authorization Service,Trial,To,,
xbar for build monitoring,Trial,To,,
Clasp,Assess,To,,
Databricks Overwatch,Assess,To,,
dbtvault,Assess,To,,
git-together,Assess,To,,
Harness Cloud Cost Management,Assess,To,,
Infracost,Assess,To,,
Karpenter,Assess,To,,
Mizu,Assess,To,,
Soda Core,Assess,To,,
Teller,Assess,To,,
Xcode Cloud,Assess,To,,
Online services for formatting or parsing code,Hold,To,,
io-ts,Adopt,languages-and-frameworks,,
Kotest,Adopt,languages-and-frameworks,,
NestJS,Adopt,languages-and-frameworks,,
React Query,Adopt,languages-and-frameworks,,
Swift Package Manager,Adopt,languages-and-frameworks,,
Yjs,Adopt,languages-and-frameworks,,
Azure Bicep,Trial,languages-and-frameworks,,
Camunda,Trial,languages-and-frameworks,,
Gradle Kotlin DSL,Trial,languages-and-frameworks,,
Jetpack Media3,Trial,languages-and-frameworks,,
Ladle,Trial,languages-and-frameworks,,
Moshi,Trial,languages-and-frameworks,,
Svelte,Trial,languages-and-frameworks,,
Aleph.js,Assess,languages-and-frameworks,,
Astro,Assess,languages-and-frameworks,,
BentoML,Assess,languages-and-frameworks,,
Carbon Aware SDK,Assess,languages-and-frameworks,,
Cloudscape,Assess,languages-and-frameworks,,
Connect,Assess,languages-and-frameworks,,
Cross device SDK,Assess,languages-and-frameworks,,
Cypress Component Testing,Assess,languages-and-frameworks,,
JobRunr,Assess,languages-and-frameworks,,
Million,Assess,languages-and-frameworks,,
Soketi,Assess,languages-and-frameworks,,
Stable Diffusion,Assess,languages-and-frameworks,,
Synthetic Data Vault,Assess,languages-and-frameworks,,
Carbon,Hold,languages-and-frameworks,,
